Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
526,RPM International,RPM,Chemicals,Chemicals,yes,no,no,yes,-8,no,yes,n/a,no,no,16751,11262,6708,9.8,492,-2.2,6708,Frank C. Sullivan,U.S.,Medina,OH,www.rpminc.com,Public,"Figures are for fiscal year ended May 31, 2022. Market value as of March 31, 2023.",11262,6/5/2023
527,Tapestry,TPR,Apparel,Apparel,yes,no,yes,yes,14,yes,no,n/a,no,no,15350,10177,6685,16.3,856,2.6,7265,Joanne C. Crevoiserat,U.S.,New York,NY,www.tapestry.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",10177,6/5/2023
528,Core & Main,CNM,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,78,yes,no,n/a,no,no,4500,5684,6651,32.9,366,120.5,4909,Stephen O. LeClair,U.S.,St. Louis,MO,www.coreandmain.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",5684,6/5/2023
529,Schneider National,SNDR,Transportation,Transportation and Logistics,yes,no,no,no,26,yes,no,n/a,no,no,17050,4762,6604,17.8,458,12.9,4318,Mark B. Rourke,U.S.,Green Bay,WI,www.schneider.com,Public,"Market value as of March 31, 2023.",4762,6/5/2023
530,Carlisle,CSL,Materials,"Building Materials, Glass",yes,no,no,yes,74,yes,no,n/a,no,no,12300,11548,6592,31.1,924,119.1,7222,D. Christian Koch,U.S.,Scottsdale,AZ,www.carlisle.com,Public,"Market value as of March 31, 2023.",11548,6/5/2023
531,DoorDash,DASH,Technology,Internet Services and Retailing,no,yes,no,yes,90,yes,no,n/a,no,no,16800,24920,6583,34.7,-1365,,9789,Tony Xu,U.S.,San Francisco,CA,ir.doordash.com,Public,"Market value as of March 31, 2023.",24920,6/5/2023
532,KBR,KBR,Technology,Information Technology Services,yes,no,no,yes,-72,no,yes,n/a,no,no,30000,7518,6564,-10.6,190,955.6,5566,Stuart J.B. Bradie,U.S.,Houston,TX,www.kbr.com,Public,"Market value as of March 31, 2023.",7518,6/5/2023
533,APi Group,APG,Engineering & Construction,Engineering & Construction,yes,no,no,yes,168,yes,no,n/a,no,no,26000,5272,6558,66.4,73,55.3,8091,Russell A. Becker,U.S.,New Brighton,MN,www.apigroupcorp.com,Public,"Market value as of March 31, 2023.",5272,6/5/2023
534,Cincinnati Financial,CINF,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-167,no,yes,n/a,no,no,5148,17616,6557,-31.9,-486,-116.5,29736,Steven J. Johnston,U.S.,Fairfield,OH,www.cinfin.com,Public,"Market value as of March 31, 2023.",17616,6/5/2023
535,Darling Ingredients,DAR,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,96,yes,no,n/a,no,no,14600,9339,6532,37.8,738,13.3,9202,Randall C. Stuewe,U.S.,Irving,TX,www.darlingii.com,Public,"Market value as of March 31, 2023.",9339,6/5/2023
536,Patterson,PDCO,Health Care,Wholesalers: Health Care,yes,no,no,no,-7,no,yes,n/a,no,no,7700,2616,6499,9.9,203,30.3,2742,Donald J. Zurbay,U.S.,St. Paul,MN,www.pattersoncompanies.com,Public,"Figures are for fiscal year ended April 30, 2022. Market value as of March 31, 2023.",2616,6/5/2023
537,T. Rowe Price,TROW,Financials,Securities,yes,no,no,yes,-94,no,yes,n/a,no,no,7868,25348,6488,-15.4,1558,-49.5,11643,Robert W. Sharps,U.S.,Baltimore,MD,www.troweprice.com,Public,"Market value as of March 31, 2023.",25348,6/5/2023
538,Cornerstone Building Brands,,Materials,"Building Materials, Glass",yes,no,yes,no,21,yes,no,n/a,no,no,19500,,6480,16.1,420,-36.9,7194,Rose Lee,U.S.,Cary,NC,www.cornerstonebuildingbrands.com,Private,"Went private, July 25, 2022.",3089,6/5/2023
539,Martin Marietta Materials,MLM,Materials,"Building Materials, Glass",yes,no,no,no,29,yes,no,n/a,no,no,9400,22051,6469,17.8,867,23.4,14994,C. Howard Nye,U.S.,Raleigh,NC,www.martinmarietta.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",22051,6/5/2023
540,Silgan Holdings,SLGN,Materials,"Packaging, Containers",yes,no,no,no,8,yes,no,n/a,no,no,15425,5908,6412,12.9,341,-5.1,7346,Adam J. Greenlee,U.S.,Stamford,CT,www.silganholdings.com,Public,"Market value as of March 31, 2023.",5908,6/5/2023
541,Sprouts Farmers Market,SFM,Food & Drug Stores,Food and Drug Stores,yes,no,no,no,-21,no,yes,n/a,no,no,31000,3611,6404,5,261,7,3070,Jack L. Sinclair,U.S.,Phoenix,AZ,www.sprouts.com,Public,"Market value as of March 31, 2023.",3611,6/5/2023
542,PENN Entertainment,PENN,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,no,-12,no,yes,n/a,no,no,21875,4526,6402,8.4,222,-47.2,17502,Jay A. Snowden,U.S.,Wyomissing,PA,www.pennentertainment.com,Public,"Changed name from Penn National Gaming, Aug. 4, 2022. Market value as of March 31, 2023.",4526,6/5/2023
543,ADT,ADT,Business Services,Diversified Outsourcing Services,yes,no,no,no,31,yes,no,n/a,no,no,22000,6630,6395,20.5,173,,17873,James D. DeVries,U.S.,Boca Raton,FL,www.adt.com,Public,"Market value as of March 31, 2023.",6630,6/5/2023
544,Academy Sports and Outdoors,ASO,Retailing,Specialty Retailers: Other,yes,no,no,no,-63,no,yes,n/a,no,no,16508,5021,6395,-5.6,628,-6.5,4595,Steven P. Lawrence,U.S.,Katy,TX,www.academy.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",5021,6/5/2023
545,Post Holdings,POST,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-34,no,yes,n/a,no,no,10420,5295,6393,2.7,757,353.9,11308,Robert V. Vitale,U.S.,St. Louis,MO,www.postholdings.com,Public,"Includes revenues from discontinued operations. Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",5295,6/5/2023
546,Resideo Technologies,REZI,Materials,"Building Materials, Glass",yes,no,no,yes,-12,no,yes,n/a,no,no,15200,2680,6370,9,283,16.9,6387,Jay L. Geldmacher,U.S.,Scottsdale,AZ,www.resideo.com,Public,"Market value as of March 31, 2023.",2680,6/5/2023
547,Bright Health Group,BHG,Health Care,Health Care: Insurance and Managed Care,no,no,no,no,141,yes,no,n/a,no,no,2840,140,6370,58.1,-1456,,4665,G. Mike Mikan,U.S.,Minneapolis,MN,www.brighthealthgroup.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",140,6/5/2023
548,McCormick,MKC,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,-43,no,yes,n/a,no,no,14200,22320,6351,0.5,682,-9.7,13125,Brendan M. Foley,U.S.,Hunt Valley,MD,www.mccormickcorporation.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",22320,6/5/2023
549,Greif,GEF,Materials,"Packaging, Containers",yes,no,no,no,12,yes,no,n/a,no,no,12000,3292,6350,14.3,377,-3.6,5470,Ole G. Rosgaard,U.S.,Delaware,OH,www.greif.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",3292,6/5/2023
550,Victoria's Secret,VSCO,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-70,no,yes,n/a,no,no,22500,2655,6344,-6.5,348,-46.1,4711,Martin P. Waters,U.S.,Reynoldsburg,OH,www.victoriassecretandco.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",2655,6/5/2023
551,Hanesbrands,HBI,Apparel,Apparel,no,no,no,no,-93,no,yes,n/a,no,no,50500,1838,6335,-13.8,-127,-264.7,6504,Stephen B. Bratspies,U.S.,Winston-Salem,NC,www.hanes.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",1838,6/5/2023
552,Select Medical Holdings,SEM,Health Care,Health Care: Medical Facilities,yes,no,no,yes,-39,no,yes,n/a,no,no,45800,3288,6334,2.1,159,-60.5,7665,David S. Chernow,U.S.,Mechanicsburg,PA,www.selectmedicalholdings.com,Public,"Market value as of March 31, 2023.",3288,6/5/2023
553,Concentrix,CNXC,Technology,Information Technology Services,yes,no,no,yes,4,yes,no,n/a,no,no,315000,6223,6325,13.2,435,7.3,6670,Christopher A. Caldwell,U.S.,Newark,CA,www.concentrix.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",6223,6/5/2023
554,Ryerson Holding,RYI,Materials,Metals,yes,no,no,yes,-5,no,yes,n/a,no,no,4200,1291,6324,11.4,391,32.9,2334,Edward J. Lehner,U.S.,Chicago,IL,www.ryerson.com,Public,"Market value as of March 31, 2023.",1291,6/5/2023
555,NetApp,NTAP,Technology,"Computers, Office Equipment",yes,no,no,yes,-13,no,yes,n/a,no,no,12000,13658,6318,10,937,28.4,10026,George Kurian,U.S.,San Jose,CA,www.netapp.com,Public,"Figures are for fiscal year ended April 30, 2022. Market value as of March 31, 2023.",13658,6/5/2023
556,Monster Beverage,MNST,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,8,yes,no,n/a,no,no,4952,56431,6311,13.9,1192,-13.5,8293,Rodney C. Sacks/Hilton H. Schlosberg,U.S.,Corona,CA,www.monsterbevcorp.com,Public,"Market value as of March 31, 2023.",56431,6/5/2023
557,Meritage Homes,MTH,Engineering & Construction,Homebuilders,yes,no,no,yes,31,yes,no,n/a,no,no,1921,4293,6292,22.4,992,34.5,5772,Phillippe Lord,U.S.,Scottsdale,AZ,www.meritagehomes.com,Public,"Market value as of March 31, 2023.",4293,6/5/2023
558,Old Dominion Freight Line,ODFL,Transportation,"Trucking, Truck Leasing",yes,no,no,no,20,yes,no,n/a,no,no,23471,37501,6260,19.1,1377,33.1,4839,Kevin M. Freeman,U.S.,Thomasville,NC,www.odfl.com,Public,"Market value as of March 31, 2023.",37501,6/5/2023
559,Nasdaq,NDAQ,Financials,Securities,yes,no,yes,yes,-27,no,yes,n/a,no,no,6377,26734,6226,5.8,1125,-5.2,20868,Adena T. Friedman,U.S.,New York,NY,www.nasdaq.com,Public,"Market value as of March 31, 2023.",26734,6/5/2023
560,Intuitive Surgical,ISRG,Health Care,Medical Products and Equipment,yes,no,no,yes,-15,no,yes,n/a,no,no,12120,89480,6222,9,1322,-22.4,12974,Gary S. Guthart,U.S.,Sunnyvale,CA,www.intuitive.com,Public,"Market value as of March 31, 2023.",89480,6/5/2023
561,Ralph Lauren,RL,Apparel,Apparel,yes,no,no,yes,97,yes,no,n/a,no,no,17850,7698,6219,41.3,600,,7725,Patrice Louvet,U.S.,New York,NY,www.ralphlauren.com,Public,"Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",7698,6/5/2023
562,Workday,WDAY,Technology,Computer Software,no,yes,no,yes,27,yes,no,n/a,no,no,17700,53494,6216,21,-367,-1348.6,13486,Aneel Bhusri/Carl M. Eschenbach,U.S.,Pleasanton,CA,www.workday.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",53494,6/5/2023
563,Zillow Group,ZG,Technology,Internet Services and Retailing,no,yes,no,no,-139,no,yes,n/a,no,no,5724,10375,6207,-23.8,-101,,6563,Richard N. Barton,U.S.,Seattle,WA,www.zillowgroup.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",10375,6/5/2023
564,CACI International,CACI,Technology,Information Technology Services,yes,no,no,no,-42,no,yes,n/a,no,no,22000,6965,6203,2.6,367,-19.8,6629,John S. Mengucci,U.S.,Reston,VA,www.caci.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",6965,6/5/2023
565,Coca-Cola Consolidated,COKE,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,-5,no,yes,n/a,no,no,16000,5016,6201,11.5,430,126.9,3710,J. Frank Harrison III,U.S.,Charlotte,NC,www.cokeconsolidated.com,Public,"Market value as of March 31, 2023.",5016,6/5/2023
566,Pool,POOL,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,11,yes,no,n/a,no,no,6100,13380,6180,16.7,749,15,3565,Peter D. Arvan,U.S.,Covington,LA,www.poolcorp.com,Public,"Market value as of March 31, 2023.",13380,6/5/2023
567,Securian Financial Group,,Financials,"Insurance: Life, Health (stock)",no,no,no,no,-103,no,yes,n/a,no,no,6500,,6175,-15.6,-91,-129.3,67855,Christopher M. Hilger,U.S.,St. Paul,MN,www.securian.com,Private,"Market value as of March 31, 2021.",,6/5/2023
568,Organon,OGN,Health Care,Pharmaceuticals,yes,no,no,,,,,n/a,no,no,10000,5983,6174,,917,,10955,Kevin Ali,U.S.,Jersey City,NJ,www.organon.com,Public,"Spun off from Merck (2022 rank: 69), June 2, 2021. Market value as of March 31, 2023.",5983,6/5/2023
569,Levi Strauss,LEVI,Apparel,Apparel,yes,no,no,yes,-29,no,yes,n/a,no,no,18000,7226,6169,7,569,2.8,6038,Charles V. Bergh,U.S.,San Francisco,CA,www.levistrauss.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",7226,6/5/2023
570,Ametek,AME,Technology,"Scientific, Photographic and Control Equipment",yes,no,no,yes,-7,no,yes,n/a,no,no,19600,33467,6151,10.9,1160,17.1,12431,David A. Zapico,U.S.,Berwyn,PA,www.ametek.com,Public,"Market value as of March 31, 2023.",33467,6/5/2023
571,Petco Health and Wellness,WOOF,Retailing,Specialty Retailers: Other,yes,no,no,yes,-35,no,yes,n/a,no,no,29000,2401,6036,3.9,91,-44.8,6613,Ronald Coughlin Jr.,U.S.,San Diego,CA,www.petco.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",2401,6/5/2023
572,Compass,COMP,Technology,Internet Services and Retailing,no,yes,no,no,-77,no,yes,n/a,no,no,3191,1521,6018,-6.3,-602,,1533,Robert L. Reffkin,U.S.,New York,NY,www.compass.com,Public,"Market value as of March 31, 2023.",1521,6/5/2023
573,Rocket Companies,RKT,Financials,Diversified Financials,yes,no,no,no,-291,no,yes,n/a,no,yes,18500,17882,6005,-54.4,46,-84.9,20082,Bill Emerson,U.S.,Detroit,MI,www.rocketcompanies.com,Public,"Market value as of March 31, 2023.",17882,6/5/2023
574,Crestwood Equity Partners,CEQP,Energy,Pipelines,yes,yes,no,yes,70,yes,no,n/a,no,no,753,2627,6001,31.3,31,,6567,Robert G Phillips,U.S.,Houston,TX,www.crestwoodlp.com,Public,"A partnership. Market value as of March 31, 2023.",2627,6/5/2023
575,Prologis,PLD,Financials,Real estate,yes,yes,no,yes,54,yes,no,n/a,no,no,2466,115219,5974,25.5,3365,14.5,87897,Hamid R. Moghadam,U.S.,San Francisco,CA,www.prologis.com,Public,"A real estate investment trust. Market value as of March 31, 2023.",115219,6/5/2023
576,Insperity,NSP,Business Services,Diversified Outsourcing Services,yes,yes,no,yes,35,yes,no,n/a,no,no,4100,4601,5939,19.4,179,44.5,2039,Paul J. Sarvadi,U.S.,Kingwood,TX,www.insperity.com,Public,"Market value as of March 31, 2023.",4601,6/5/2023
577,GameStop,GME,Retailing,Specialty Retailers: Other,no,no,no,no,-51,no,yes,n/a,no,no,21250,7014,5927,-1.4,-313,,3113,Ryan Cohen,U.S.,Grapevine,TX,www.gamestop.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",7014,6/5/2023
578,Ingersoll Rand,IR,Industrials,Industrial Machinery,yes,no,no,yes,-28,no,yes,n/a,no,no,17000,23560,5923,4.7,605,7.5,14766,Vicente Reynal,U.S.,Davidson,NC,www.irco.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",23560,6/5/2023
579,Voya Financial,VOYA,Financials,Diversified Financials,yes,no,yes,yes,91,yes,no,n/a,no,no,6070,6953,5922,40,510,-76,147652,Heather H. Lavallee,U.S.,New York,NY,www.voya.com,Public,"Market value as of March 31, 2023.",6953,6/5/2023
580,Marvell Technology,MRVL,Technology,Semiconductors and Other Electronic Components,no,no,no,yes,74,yes,no,n/a,no,no,7433,37104,5920,32.7,-164,,22522,Matthew J. Murphy,U.S.,Wilmington,DE,www.marvell.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",37104,6/5/2023
581,Warner Music Group,WMG,Media,Entertainment,yes,no,no,yes,-5,no,yes,n/a,no,no,6200,17217,5919,11.7,551,81.3,7828,Robert Kyncl,U.S.,New York,NY,www.wmg.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",17217,6/5/2023
582,Hyatt Hotels,H,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,242,yes,no,n/a,no,yes,50000,11878,5891,94.6,455,,12312,Mark S. Hoplamazian,U.S.,Chicago,IL,www.hyatt.com,Public,"Market value as of March 31, 2023.",11878,6/5/2023
583,Welltower,WELL,Financials,Real estate,yes,no,no,yes,47,yes,no,n/a,no,no,514,35174,5861,23.6,141,-58,37893,Shankh S. Mitra,U.S.,Toledo,OH,www.welltower.com,Public,"A real estate investment trust. Market value as of March 31, 2023.",35174,6/5/2023
584,Evergy,EVRG,Energy,Utilities: Gas and Electric,yes,no,no,no,-26,no,yes,n/a,no,no,4512,14032,5859,4.9,753,-14.4,29490,David A. Campbell,U.S.,Kansas City,MO,investors.evergy.com,Public,"Market value as of March 31, 2023.",14032,6/5/2023
585,Hasbro,HAS,Household Products,"Toys, Sporting Goods",yes,no,no,no,-89,no,yes,n/a,no,no,6490,7421,5857,-8.8,204,-52.5,9296,Christian P. Cocks,U.S.,Pawtucket,RI,www.hasbro.com,Public,"Market value as of March 31, 2023.",7421,6/5/2023
586,NiSource,NI,Energy,Utilities: Gas and Electric,yes,no,no,no,33,yes,no,n/a,no,no,7140,11534,5851,19.4,804,37.5,26737,Lloyd M. Yates,U.S.,Merrillville,IN,www.nisource.com,Public,"Market value as of March 31, 2023.",11534,6/5/2023
587,Fortive,FTV,Industrials,Industrial Machinery,yes,no,no,no,-8,no,yes,n/a,no,no,18000,24078,5826,10.9,755,24.1,15891,James A. Lico,U.S.,Everett,WA,www.fortive.com,Public,"Market value as of March 31, 2023.",24078,6/5/2023
588,American Axle & Manufacturing,AXL,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,-1,no,yes,n/a,no,no,19000,912,5802,12.5,64,989.8,5469,David C. Dauch,U.S.,Detroit,MI,www.aam.com,Public,"Market value as of March 31, 2023.",912,6/5/2023
589,FMC,FMC,Chemicals,Chemicals,yes,no,no,yes,14,yes,no,n/a,no,no,6600,15284,5802,15,737,,11171,Mark A. Douglas,U.S.,Philadelphia,PA,www.fmc.com,Public,"Market value as of March 31, 2023.",15284,6/5/2023
590,Frontier Communications,FYBR,Telecommunications,Telecommunications,yes,no,no,no,-91,no,yes,n/a,no,no,14708,5580,5787,-9.7,441,,18624,Nick Jeffery,U.S.,Norwalk,CT,www.frontier.com,Public,"Net income and earnings per share percent changes are not available due to emergence from bankruptcy and fresh-start accounting, April 30, 2021. Market value as of March 31, 2023.",5580,6/5/2023
591,Zebra Technologies,ZBRA,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,-38,no,yes,n/a,no,no,10500,16345,5781,2.7,463,-44.7,7529,William J. Burns,U.S.,Lincolnshire,IL,www.zebra.com,Public,"Market value as of March 31, 2023.",16345,6/5/2023
592,Harley-Davidson,HOG,Transportation,Transportation Equipment,yes,no,no,yes,-20,no,yes,n/a,no,no,6300,5551,5755,7.8,741,14.1,11493,Jochen Zeitz,U.S.,Milwaukee,WI,www.harley-davidson.com,Public,"Market value as of March 31, 2023.",5551,6/5/2023
593,U-Haul Holding,UHAL,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,55,yes,no,n/a,no,no,25234,10320,5740,26.4,1123,83.9,17300,Edward J. Shoen,U.S.,Reno,NV,www.uhaul.com,Public,"Changed name from Amerco, Dec. 19, 2022. Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",10320,6/5/2023
594,Under Armour,UAA,Apparel,Apparel,yes,no,yes,no,-48,no,yes,n/a,no,no,12300,3982,5727,19.3,223,88.3,4453,Stephanie C. Linnartz,U.S.,Baltimore,MD,about.underarmour.com,Public,"Changed fiscal year-end from Dec. 31. to March 31. Figures are for the twelve months ended March 31, 2022. Market value as of March 31, 2023.",3982,6/5/2023
595,MDC Holdings,MDC,Engineering & Construction,Homebuilders,yes,no,no,no,-15,no,yes,n/a,no,no,1643,2841,5718,8.8,562,-2,5363,David D. Mandarich,U.S.,Denver,CO,www.mdcholdings.com,Public,"Market value as of March 31, 2023.",2841,6/5/2023
596,Broadridge Financial Solutions,BR,Business Services,Financial Data Services,yes,no,no,yes,12,yes,no,n/a,no,no,14300,17250,5709,14.3,539,-1.5,8169,Timothy C. Gokey,U.S.,Lake Success,NY,www.broadridge.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",17250,6/5/2023
597,Vertiv Holdings,VRT,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,10,yes,no,n/a,no,no,27000,5404,5692,13.9,77,-36,7096,Giordano Albertazzi,U.S.,Westerville,OH,www.vertiv.com,Public,"Market value as of March 31, 2023.",5404,6/5/2023
598,Ingles Markets,IMKTA,Food & Drug Stores,Food and Drug Stores,yes,no,no,no,11,yes,no,n/a,no,no,18460,1685,5679,13.9,273,9.2,2296,James W. Lanning,U.S.,Black Mountain,NC,www.ingles-markets.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",1685,6/5/2023
599,Howmet Aerospace,HWM,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,13,yes,no,n/a,no,no,21400,17448,5663,13.9,469,81.8,10255,John C. Plant,U.S.,Pittsburgh,PA,www.howmet.com,Public,"Market value as of March 31, 2023.",17448,6/5/2023
600,Sealed Air,SEE,Materials,"Packaging, Containers",yes,no,no,no,-35,no,yes,n/a,no,no,16300,6609,5642,2,492,-3,6215,Edward L. Doheny II,U.S.,Charlotte,NC,www.sealedair.com,Public,"Market value as of March 31, 2023.",6609,6/5/2023
601,Kemper,KMPR,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-64,no,yes,n/a,no,no,9500,3496,5577,-3.7,-301,,13364,Joseph P. Lacher Jr.,U.S.,Chicago,IL,www.kemper.com,Public,"Market value as of March 31, 2023.",3496,6/5/2023
602,First Citizens BancShares,FCNCA,Financials,Commercial Banks,yes,no,no,yes,,,,n/a,no,no,10530,14032,5549,183.3,1098,100.6,109298,Frank B. Holding Jr.,U.S.,Raleigh,NC,www.firstcitizens.com,Public,"Market value as of March 31, 2023.",14032,6/5/2023
603,Xylem,XYL,Industrials,Industrial Machinery,yes,no,no,yes,-18,no,yes,n/a,no,no,17800,18875,5522,6.3,355,-16.9,7952,Patrick K. Decker,U.S.,Washington,DC,www.xylem.com,Public,"Market value as of March 31, 2023.",18875,6/5/2023
604,Palo Alto Networks,PANW,Technology,Network and Other Communications Equipment,no,no,no,yes,62,yes,no,n/a,no,no,12561,60443,5502,29.3,-267,,12254,Nikesh Arora,U.S.,Santa Clara,CA,www.paloaltonetworks.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",60443,6/5/2023
605,Skyworks Solutions,SWKS,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-10,no,yes,n/a,no,no,11150,18777,5486,7.4,1275,-14.9,8874,Liam K. Griffin,U.S.,Irvine,CA,www.skyworksinc.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",18777,6/5/2023
606,Gartner,IT,Technology,Information Technology Services,yes,no,no,yes,27,yes,no,n/a,no,no,19500,25756,5476,15.7,808,1.8,7300,Eugene A. Hall,U.S.,Stamford,CT,www.gartner.com,Public,"Market value as of March 31, 2023.",25756,6/5/2023
607,Roper Technologies,ROP,Technology,Computer Software,yes,no,no,no,-110,no,yes,n/a,no,no,15800,46820,5472,-14.7,4545,294.3,26981,L. Neil Hunn,U.S.,Sarasota,FL,www.ropertech.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",46820,6/5/2023
608,Hanover Insurance Group,THG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,-25,no,yes,n/a,no,no,4600,4590,5469,4.6,116,-72.3,13997,John C. Roche,U.S.,Worcester,MA,www.hanover.com,Public,"Market value as of March 31, 2023.",4590,6/5/2023
609,Big Lots,BIG,Retailing,Specialty Retailers: Other,no,no,no,no,-94,no,yes,n/a,no,no,21200,318,5468,-11.1,-211,-218.5,3691,Bruce K. Thorn,U.S.,Columbus,OH,www.biglots.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",318,6/5/2023
610,Moody's,MCO,Business Services,Financial Data Services,yes,no,no,yes,-98,no,yes,n/a,no,no,14426,56084,5468,-12.1,1374,-37.9,14349,Robert S. Fauber,U.S.,New York,NY,www.moodys.com,Public,"Market value as of March 31, 2023.",56084,6/5/2023
611,Teledyne Technologies,TDY,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,29,yes,no,n/a,no,no,14700,21027,5459,18.3,789,77.1,14354,Robert Mehrabian,U.S.,Thousand Oaks,CA,www.teledyne.com,Public,"Market value as of March 31, 2023.",21027,6/5/2023
612,Mattel,MAT,Household Products,"Toys, Sporting Goods",yes,no,no,no,-42,no,yes,n/a,no,no,33900,6516,5435,-0.4,394,-56.4,6178,Ynon Kreiz,U.S.,El Segundo,CA,www.mattel.com,Public,"Market value as of March 31, 2023.",6516,6/5/2023
613,TransDigm Group,TDG,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,11,yes,no,n/a,no,no,14400,40242,5429,13.2,866,27.4,18107,Kevin M. Stein,U.S.,Cleveland,OH,www.transdigm.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",40242,6/5/2023
614,Keysight Technologies,KEYS,Technology,"Scientific, Photographic and Control Equipment",yes,no,no,yes,,,,n/a,no,no,15000,28766,5420,9.7,1124,25.7,8098,Satish Dhanasekaran,U.S.,Santa Rosa,CA,www.keysight.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",28766,6/5/2023
615,Telephone & Data Systems,TDS,Telecommunications,Telecommunications,yes,no,no,yes,-42,no,yes,n/a,no,no,9300,1182,5413,1.6,62,-60.3,14550,LeRoy T. Carlson Jr.,U.S.,Chicago,IL,www.tdsinc.com,Public,"Market value as of March 31, 2023.",1182,6/5/2023
616,Syneos Health,SYNH,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,yes,-32,no,yes,n/a,no,no,29290,3678,5393,3.5,267,13.5,8199,Michelle Keefe,U.S.,Morrisville,NC,www.syneoshealth.com,Public,"Market value as of March 31, 2023.",3678,6/5/2023
617,Edwards Lifesciences,EW,Health Care,Medical Products and Equipment,yes,no,no,yes,-35,no,yes,n/a,no,no,17300,50143,5382,2.9,1522,1.3,8293,Bernard J. Zovighian,U.S.,Irvine,CA,www.edwards.com,Public,"Market value as of March 31, 2023.",50143,6/5/2023
618,Church & Dwight,CHD,Household Products,Household and Personal Products,yes,no,no,yes,-32,no,yes,n/a,no,no,5250,21577,5376,3.6,414,-50,8346,Matthew T. Farrell,U.S.,Ewing,NJ,www.churchdwight.com,Public,"Market value as of March 31, 2023.",21577,6/5/2023
